url,provider,subject,area
https://www.class-central.com/mooc/1456/coursera-introduction-to-physical-chemistry,Coursera,Chemistry,Physical Science and Engineering
https://www.class-central.com/mooc/1457/coursera-sistemas-digitales-de-las-puertas-logicas-al-procesador,Coursera,Electrical Engineering,Physical Science and Engineering
https://www.class-central.com/mooc/1486/edx-introduction-to-the-music-business,edX,Music,Arts and Humanities
https://www.class-central.com/mooc/1491/edx-introduction-to-aeronautical-engineering,edX,Engineering,Physical Science and Engineering
https://www.class-central.com/mooc/1496/edx-introduction-to-probability-the-science-of-uncertainty,edX,Data Analysis & Statistics,Data Science
https://www.class-central.com/mooc/1522/coursera-marine-megafauna-an-introduction-to-marine-science-and-conservation,Coursera,Environmental Science and Sustainability,Physical Science and Engineering
https://www.class-central.com/mooc/1527/edx-entrepreneurship-101-who-is-your-customer,edX,Business & Management,Business
https://www.class-central.com/mooc/1528/edx-an-introduction-to-credit-risk-management,edX,Business & Management,Business
https://www.class-central.com/mooc/1530/coursera-correccion-estilo-y-variacion-linguistica,Coursera,Other Languages,Language Learning
https://www.class-central.com/mooc/1567/coursera-advanced-instructional-strategies-in-the-virtual-classroom,Coursera,Education,Social Sciences
https://www.class-central.com/mooc/1598/edx-greatest-unsolved-mysteries-of-the-universe,edX,Energy & Earth Sciences,Physical Science and Engineering
https://www.class-central.com/mooc/1599/edx-anu-india1x-engaging-india,edX,Social Sciences,Social Sciences
https://www.class-central.com/mooc/1603/coursera-beyond-silicon-valley-growing-entrepreneurship-in-transitioning-economies,Coursera,Entrepreneurship,Business
https://www.class-central.com/mooc/1604/coursera--understanding-the-greek-philosophy,Coursera,Philosophy,Arts and Humanities
https://www.class-central.com/mooc/1606/coursera-understanding-the-brain-the-neurobiology-of-everyday-life,Coursera,Biology,Life Sciences
https://www.class-central.com/mooc/1623/edx-the-analytics-edge,edX,Data Analysis & Statistics,Data Science
https://www.class-central.com/mooc/1635/edx-astrophysics-exploring-exoplanets,edX,Physics,Physical Science and Engineering
https://www.class-central.com/mooc/1648/edx-introduction-to-biomedical-imaging,edX,Biology & Life Sciences,Life Sciences
https://www.class-central.com/mooc/1652/coursera---shi-ji-1,Coursera,History,Arts and Humanities
https://www.class-central.com/mooc/1704/coursera-programming-cloud-services-for-android-handheld-systems,Coursera,Software Development,Computer Science
https://www.class-central.com/mooc/1705/coursera-the-french-revolution,Coursera,History,Arts and Humanities
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,Coursera,Data Analysis,Data Science
https://www.class-central.com/mooc/1713/coursera-r-programming,Coursera,Data Analysis,Data Science
https://www.class-central.com/mooc/1714/coursera-getting-and-cleaning-data,Coursera,Data Analysis,Data Science
https://www.class-central.com/mooc/1715/coursera-exploratory-data-analysis,Coursera,Data Analysis,Data Science
https://www.class-central.com/mooc/1716/coursera-reproducible-research,Coursera,Data Analysis,Data Science
https://www.class-central.com/mooc/1717/coursera-statistical-inference,Coursera,Probability and Statistics,Data Science
https://www.class-central.com/mooc/1718/coursera-regression-models,Coursera,Probability and Statistics,Data Science
https://www.class-central.com/mooc/1719/coursera-practical-machine-learning,Coursera,Machine Learning,Data Science
https://www.class-central.com/mooc/1720/coursera-developing-data-products,Coursera,Data Analysis,Data Science
https://www.class-central.com/mooc/1724/coursera-principles-of-computing-part-1,Coursera,Software Development,Computer Science
https://www.class-central.com/mooc/1725/coursera-algorithmic-thinking-part-1,Coursera,Software Development,Computer Science
https://www.class-central.com/mooc/1727/coursera-usable-security,Coursera,Computer Security and Networks,Computer Science
https://www.class-central.com/mooc/1728/coursera-software-security,Coursera,Computer Security and Networks,Computer Science
https://www.class-central.com/mooc/1729/coursera-hardware-security,Coursera,Computer Security and Networks,Computer Science
https://www.class-central.com/mooc/1730/coursera-cryptography,Coursera,Computer Security and Networks,Computer Science
https://www.class-central.com/mooc/1740/coursera-enhance-your-career-and-employability-skills,Coursera,Career Development,Personal Development
https://www.class-central.com/mooc/1747/coursera-the-global-student-s-introduction-to-u-s-law,Coursera,Law,Social Sciences
https://www.class-central.com/mooc/1749/coursera-bioinformatic-methods-ii,Coursera,Bioinformatics,Life Sciences
https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society,Coursera,Business,Business
https://www.class-central.com/mooc/1765/coursera-introduction-to-human-behavioral-genetics,Coursera,Psychology,Social Sciences
https://www.class-central.com/mooc/1769/coursera-preventing-chronic-pain-a-human-systems-approach,Coursera,Medicine & Healthcare,Life Sciences
https://www.class-central.com/mooc/1781/edx-the-science-of-happiness,edX,Social Sciences,Social Sciences
https://www.class-central.com/mooc/1782/edx-colwri2-3x-academic-and-business-writing,edX,Communication,Business
https://www.class-central.com/mooc/1811/coursera-personal-family-financial-planning,Coursera,Finance,Business
https://www.class-central.com/mooc/1812/coursera-massively-multivariable-open-online-calculus-course,Coursera,Math and Logic,Math and Logic
https://www.class-central.com/mooc/1813/coursera-the-science-of-the-solar-system,Coursera,Physics and Astronomy,Physical Science and Engineering
https://www.class-central.com/mooc/1815/coursera-marriage-and-the-movies-a-history,Coursera,Film,Arts and Humanities
