"","degree","closeness","betweenness","eigenvector","transitivity","constraint","url","time"
"877",17,9.1751536838242e-06,0.04500880060347,0.0134218308208404,1.00009032112949,0.178815074450429,"https://www.class-central.com/mooc/1832/edx-alien-worlds-the-science-of-exoplanet-discovery-and-characterization",6
"878",9,9.14085137889743e-06,0.406481481481481,0.00110971856071342,1.00009032112949,0.318917066379217,"https://www.class-central.com/mooc/3873/edx-the-book-making-and-meaning-in-the-medieval-manuscript",6
"879",2,9.14185415085888e-06,0,0.00146258321282493,1.00009032112949,0.54255047153162,"https://www.class-central.com/mooc/3028/edx-cellular-mechanisms-of-brain-function",6
"880",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/1624/edx-thermodynamics",6
"881",31,9.19337341644143e-06,1007.38486537323,0.0274794867328449,0.595789245860675,0.0966707947253884,"https://www.class-central.com/mooc/942/edx-fundamentals-of-neuroscience-part-1-electrical-properties-of-the-neuron",6
"882",2,9.14135273737808e-06,0,0.0146623827778663,1.00009032112949,0.817980068780097,"https://www.class-central.com/mooc/1335/edx-effective-thinking-through-mathematics",6
"883",1,1.63944907953131e-06,0,5.54470496048809e-06,0,1.0000157493094,"https://www.class-central.com/mooc/1491/edx-introduction-to-aeronautical-engineering",6
"884",55,9.1924438111872e-06,5.39300442356272,0.644677555480082,1.00009032112949,0.0638653590295095,"https://www.class-central.com/mooc/810/edx-ideas-of-the-twentieth-century",6
"885",56,9.19185234208398e-06,204.293002305439,0.65569934278743,0.965025386064557,0.0632327286324822,"https://www.class-central.com/mooc/3603/edx-paradox-and-infinity",6
"886",55,9.1924438111872e-06,5.39300442356272,0.644677555266047,1.00009032112949,0.0638653590295095,"https://www.class-central.com/mooc/1988/edx-china-part-5-from-a-global-empire-under-the-mongols-to-a-global-economy-under-the-ming-dynasty",6
"887",56,9.19185234208398e-06,75.2138661015677,0.741444285553957,0.969570840610011,0.0664849683227627,"https://www.class-central.com/mooc/2467/edx-china-part-7-invasions-rebellions-and-the-fall-of-imperial-china",6
"888",56,9.19185234208398e-06,75.2138661015677,0.741444285567494,0.969570840610011,0.0664849683227627,"https://www.class-central.com/mooc/2469/edx-china-part-9-china-and-communism",6
"889",56,9.19185234208398e-06,75.2138661015677,0.741444286111812,0.969570840610011,0.0664849683227627,"https://www.class-central.com/mooc/1773/edx-china-part-3-cosmopolitan-tang-aristocratic-culture",6
"890",56,9.19185234208398e-06,75.2138661015677,0.741444285750138,0.969570840610011,0.0664849683227627,"https://www.class-central.com/mooc/2470/edx-china-part-10-greater-china-today-the-people-s-republic-taiwan-and-hong-kong",6
"891",31,9.18568869701006e-06,733.147755074209,0.0263474214164577,0.559230106075728,0.0898263541939578,"https://www.class-central.com/mooc/3640/edx-statistics-for-business-i",6
"892",47,9.20589914016902e-06,1409.99941482032,0.0888072243898002,0.617111597725237,0.0673646439969917,"https://www.class-central.com/mooc/2963/edx-introduction-to-linear-models-and-matrix-algebra",6
"893",82,9.19497954117052e-06,412.608774602365,0.884957054575969,0.620084298847047,0.0467812728926447,"https://www.class-central.com/mooc/944/edx-was-alexander-great-the-life-leadership-and-legacies-of-history-s-greatest-warrior",6
"894",1,9.13851243294617e-06,0,0.0105033810285706,0,1.0000157493094,"https://www.class-central.com/mooc/3048/edx-i-heart-stats-learning-to-love-statistics",6
"895",55,9.1924438111872e-06,5.39300442356272,0.644677556006976,1.00009032112949,0.0638653590295095,"https://www.class-central.com/mooc/1009/edx-behavioral-economics-in-action",6
"896",11,9.1869545245751e-06,6.40164331091116,0.0156821932802514,1.00009032112949,0.260544983658572,"https://www.class-central.com/mooc/2159/edx-visualizing-japan-1850s-1930s-westernization-protest-modernity",6
"897",17,9.1751536838242e-06,0.04500880060347,0.0134218316037719,1.00009032112949,0.178815074450429,"https://www.class-central.com/mooc/1874/edx-super-earths-and-life",6
"898",13,9.18948722661276e-06,87.8528122596042,0.0210310487500508,0.641115962155133,0.177510376611303,"https://www.class-central.com/mooc/3191/edx-discrete-time-signals-and-systems-part-2-frequency-domain",6
"899",14,9.16985319065042e-06,16.0862273577851,0.010628691851101,1.00009032112949,0.209331275507598,"https://www.class-central.com/mooc/3178/edx-fundamentals-of-nanoelectronics-basic-concepts",6
"900",17,9.1751536838242e-06,0.04500880060347,0.0134218318100725,1.00009032112949,0.178815074450429,"https://www.class-central.com/mooc/4869/edx-human-rights-the-right-to-freedom-of-expression",6
"901",3,9.13392155788166e-06,0,0.00547343964283371,1.00009032112949,0.476507273084037,"https://www.class-central.com/mooc/3337/edx-conversational-english-skills",6
"902",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/3483/edx-cs-for-all-introduction-to-computer-science-and-python-programming",6
"903",2,9.16153620639109e-06,0.197985347985348,0.00303786197474815,1.00009032112949,0.548840088029541,"https://www.class-central.com/mooc/2809/edx-the-computing-technology-inside-your-smartphone",6
"904",3,9.1669111176298e-06,0,0.00468797721461193,1.00009032112949,0.536464476948602,"https://www.class-central.com/mooc/3208/edx-the-engineering-of-structures-around-us",6
