course_id,title,provider,subject,school,time_school_ranking,total_review_rating,total_review_count,published_time,time,session_open,time_review_count,time_review_rating,time_avg_helpful_review_score,time_avg_moderate_review,time_avg_review_length,total_review_rating,time_avg_high_review,time_avg_low_review,effort_hours (per_week),level,price,enrollment_type,course_length,url,in-degree,out-degree,closeness,betweenness,eigenvector,transitivity
CourseTalk-22,DemoX,edX,Education & Teacher Training,null,NA,4,120,NA,3,NA,42,0.09750566893424036,0.003968253968253968,0.003968253968253968,5.493197278911564,4,0.7857142857142857,0.0011337868480725624,1,Introductory,NA,NA,NA,34575,0,0,4.92732200049273e-06,0,0,0
CourseTalk-22,DemoX,edX,Education & Teacher Training,null,NA,4,120,NA,4,NA,50,0.086,0.0,0.0016,3.8383999999999996,4,0.86,0.0012,1,Introductory,NA,NA,NA,34575,1,1,1.16483593285886e-05,0,3.58066770714874e-17,7.47551767959931e-05
CourseTalk-23,The Science of Happiness,edX,Social Sciences,"University of California, Berkeley",25,5,101,2,1,TRUE,0,0,0,0,0,5,0,0,4.5,Introductory,49,FREE audit/Pay for certificate,8,69880,NA,NA,NA,NA,NA,NA
CourseTalk-23,The Science of Happiness,edX,Social Sciences,"University of California, Berkeley",27,5,101,2,2,TRUE,47,0.09732910819375283,0.004526935264825713,0.0013580805794477138,8.236306020823902,5,0.9148936170212766,0.0004526935264825713,4.5,Introductory,49,FREE audit/Pay for certificate,8,69880,4,5,4.80907954217563e-05,3183.6837995338,1.37397098827412e-05,2.70328719723183e-05
CourseTalk-23,The Science of Happiness,edX,Social Sciences,"University of California, Berkeley",26,5,101,2,3,TRUE,33,0.1322314049586777,0.00642791551882461,0.0027548209366391185,11.814508723599632,5,0.8181818181818182,0.0027548209366391185,4.5,Introductory,49,FREE audit/Pay for certificate,8,69880,2,1,1.54755640843109e-05,6365.58333333333,0,4.92732200049273e-05
CourseTalk-23,The Science of Happiness,edX,Social Sciences,"University of California, Berkeley",28,5,101,2,4,TRUE,23,0.2117202268431002,0.0,0.0,25.21550094517958,5,1.0,0.0,4.5,Introductory,49,FREE audit/Pay for certificate,8,69880,1,1,1.18494644042089e-05,4,2.67262106537918e-17,7.47551767959931e-05
CourseTalk-24,Family Business ? Strategy Essentials,edX,Business & Management,University of British Columbia,NA,5,6,4,1,FALSE,0,0,0,0,0,5,0,0,3.5,Introductory,99,FREE audit/Pay for certificate,6,83221,NA,NA,NA,NA,NA,NA
CourseTalk-24,Family Business ? Strategy Essentials,edX,Business & Management,University of British Columbia,NA,5,6,4,2,FALSE,0,0,0,0,0,5,0,0,3.5,Introductory,99,FREE audit/Pay for certificate,6,83221,NA,NA,NA,NA,NA,NA
CourseTalk-24,Family Business ? Strategy Essentials,edX,Business & Management,University of British Columbia,NA,5,6,4,3,FALSE,0,0,0,0,0,5,0,0,3.5,Introductory,99,FREE audit/Pay for certificate,6,83221,NA,NA,NA,NA,NA,NA
CourseTalk-24,Family Business ? Strategy Essentials,edX,Business & Management,University of British Columbia,NA,5,6,4,4,TRUE,7,0.673469387755102,0.0,0.0,40.265306122448976,5,1.0,0.0,3.5,Introductory,99,FREE audit/Pay for certificate,6,83221,NA,NA,NA,NA,NA,NA
CourseTalk-25,Digital Branding and Engagement,edX,Business & Management,Curtin University,284,4,69,3,1,FALSE,0,0,0,0,0,4,0,0,3.5,Intermediate,99,FREE audit/Pay for certificate,4,80768,NA,NA,NA,NA,NA,NA
